name,thomas_id,jurisdiction_source,subcommittee_name,subcommittee_thomas_id,newsletters,notes
House Committee on Ways and Means,HSWM,https://waysandmeans.house.gov/history/,Health,2,Healthcare,
House Committee on Ways and Means,HSWM,https://waysandmeans.house.gov/history/,Work and Welfare,3,Social Issues/Healthcare,
House Committee on Ways and Means,HSWM,https://waysandmeans.house.gov/history/,Oversight,6,Social Issues,
House Committee on Ways and Means,HSWM,https://waysandmeans.house.gov/history/,Tax,5,Finance,
House Committee on Ways and Means,HSWM,https://waysandmeans.house.gov/history/,Social Security,1,Social Issues/Finance,
House Committee on Ways and Means,HSWM,https://waysandmeans.house.gov/history/,Trade,4,Finance/Manufacturing/Freight,
Commission on Security and Cooperation in Europe,JCSE,,,,Foreign Affairs,
Joint Economic Committee,JSEC,,,,Finance,
Joint Committee on the Library,JSLC,,,,none,
Joint Committee on Printing,JSPR,,,,none,
Joint Committee on Taxation,JSTX,,,,Finance,
United States Senate Caucus on International Narcotics Control,SCNC,http://www.drugcaucus.senate.gov/content/about,,,Healthcare/Social Issues,
Senate Select Committee on Ethics,SLET,https://www.ethics.senate.gov/public/index.cfm/jurisdiction,,,none,
Senate Committee on Indian Affairs,SLIA,https://www.indian.senate.gov/about/history,,,Indigenous,
Senate Select Committee on Intelligence,SLIN,https://www.intelligence.senate.gov/about,,,Defence/ICT&Cybersecurity,
Senate Special Committee on Aging,SPAG,https://www.aging.senate.gov/about/rules,,,Healthcare/Social Issues,
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,https://www.agriculture.senate.gov/about/jurisdiction,"Commodities, Derivatives, Risk Management, and Trade",13,Agri/Finance,
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,https://www.agriculture.senate.gov/about/jurisdiction,"Conservation, Forestry, Natural Resources, and Biotechnology",14,Environment/Agri,
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,https://www.agriculture.senate.gov/about/jurisdiction,"Rural Development, Energy, and Credit",15,Agriculture / Utilities / Finance,
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,https://www.agriculture.senate.gov/about/jurisdiction,"Food and Nutrition, Specialty Crops, Organics, and Research",16,Agri/Food&Beverage,
"Senate Committee on Agriculture, Nutrition, and Forestry",SSAF,https://www.agriculture.senate.gov/about/jurisdiction,"Livestock, Dairy, Poultry, and Food Safety",17,Agri/Food&Beverage,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,"Commerce, Justice, Science, and Related Agencies",16,ICT/Social Issues,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,Energy and Water Development,22,Energy/Utilities,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,Financial Services and General Government,23,Finance,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,Department of Homeland Security,14,Defence/ICT ,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,"Department of Interior, Environment, and Related Agencies",17,Environment,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,"Departments of Labor, Health and Human Services, and Education, and Related Agencies",18,Healthcare/Higher Ed/Social Issues,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,"Military Construction, Veterans Affairs, and Related Agencies",19,Defence/Social Issues,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,"State, Foreign Operations, and Related Programs",20,Defence/Social Issues,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,"Transportation, Housing and Urban Development, and Related Agencies",24,Construction/Automotive,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",1,Agri/Food&Beverage/Biopharma,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,Department of Defense,2,Defence,
Senate Committee on Appropriations,SSAP,https://www.appropriations.senate.gov/about/jurisdiction,Legislative Branch,8,Social Issues/ICT,
Senate Committee on Armed Services,SSAS,https://www.armed-services.senate.gov/about/history,Airland,14,Defence,
Senate Committee on Armed Services,SSAS,https://www.armed-services.senate.gov/about/history,Emerging Threats and Capabilities,20,Defence/ICT,
Senate Committee on Armed Services,SSAS,https://www.armed-services.senate.gov/about/history,Personnel,17,Defence,
Senate Committee on Armed Services,SSAS,https://www.armed-services.senate.gov/about/history,Readiness and Management Support,15,Defence,
Senate Committee on Armed Services,SSAS,https://www.armed-services.senate.gov/about/history,Seapower,13,Defence,
Senate Committee on Armed Services,SSAS,https://www.armed-services.senate.gov/about/history,Strategic Forces,16,Defence/ICT,
Senate Committee on Armed Services,SSAS,https://www.armed-services.senate.gov/about/history,Cybersecurity,21,ICT,
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,https://www.banking.senate.gov/public/index.cfm/about,Economic Policy,12,Finance,
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,https://www.banking.senate.gov/public/index.cfm/about,National Security and International Trade and Finance,5,Defence/Finance/ICT,
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,https://www.banking.senate.gov/public/index.cfm/about,"Securities, Insurance, and Investment",4,Finance,
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,https://www.banking.senate.gov/public/index.cfm/about,"Housing, Transportation, and Community Development",9,Construction/Social Issues,
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,https://www.banking.senate.gov/public/index.cfm/about,Financial Institutions and Consumer Protection,8,Finance,
"Senate Committee on Banking, Housing, and Urban Affairs",SSBK,https://www.banking.senate.gov/public/index.cfm/about,Digital Assets,13,Finance/ICT,
Senate Committee on the Budget,SSBU,https://www.budget.senate.gov/about/committee-history,,,Finance/Social Issues,
"Senate Committee on Commerce, Science, and Transportation",SSCM,https://www.commerce.senate.gov/public/index.cfm/jurisdiction,"Aviation, Space, and Innovation",33,Aviation/ICT,
"Senate Committee on Commerce, Science, and Transportation",SSCM,https://www.commerce.senate.gov/public/index.cfm/jurisdiction,Telecommunications and Media,34,ICT,
"Senate Committee on Commerce, Science, and Transportation",SSCM,https://www.commerce.senate.gov/public/index.cfm/jurisdiction,"Consumer Protection, Technology, and Data Privacy",35,ICT,
"Senate Committee on Commerce, Science, and Transportation",SSCM,https://www.commerce.senate.gov/public/index.cfm/jurisdiction,"Coast Guard, Maritime, and Fisheries",36,Freight/Defence/Environment/Fisheries,
"Senate Committee on Commerce, Science, and Transportation",SSCM,https://www.commerce.senate.gov/public/index.cfm/jurisdiction,"Science, Manufacturing, and Competitiveness",37,Manufacturing,
"Senate Committee on Commerce, Science, and Transportation",SSCM,https://www.commerce.senate.gov/public/index.cfm/jurisdiction,"Surface Transportation, Freight, Pipelines, and Safety",38,Freight/Automotive/Environment,
"Senate Committee on Commerce, Science, and Transportation",SSCM,https://www.commerce.senate.gov/public/index.cfm/jurisdiction,"Tourism, Trade, and Export Promotion",39,Trade,
Senate Committee on Energy and Natural Resources,SSEG,https://www.energy.senate.gov/public/index.cfm/jurisdiction,Water and Power,7,Utilities & Power,
Senate Committee on Energy and Natural Resources,SSEG,https://www.energy.senate.gov/public/index.cfm/jurisdiction,National Parks,4,Environment,
Senate Committee on Energy and Natural Resources,SSEG,https://www.energy.senate.gov/public/index.cfm/jurisdiction,Energy,1,Energy,
Senate Committee on Energy and Natural Resources,SSEG,https://www.energy.senate.gov/public/index.cfm/jurisdiction,"Public Lands, Forests, and Mining",3,Environment/Mining,
Senate Committee on Environment and Public Works,SSEV,https://www.epw.senate.gov/public/index.cfm/committee-jurisdiction,"Clean Air, Climate, and Nuclear Innovation and Safety",10,Environment/Utilities,
Senate Committee on Environment and Public Works,SSEV,https://www.epw.senate.gov/public/index.cfm/committee-jurisdiction,"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",9,Environment/Utilities,
Senate Committee on Environment and Public Works,SSEV,https://www.epw.senate.gov/public/index.cfm/committee-jurisdiction,Transportation and Infrastructure,8,Automotive/Construction,
Senate Committee on Environment and Public Works,SSEV,https://www.epw.senate.gov/public/index.cfm/committee-jurisdiction,"Fisheries, Wildlife, and Water",15,Environment/Agri/Fisheries,
Senate Committee on Finance,SSFI,https://www.ethics.senate.gov/public/index.cfm/jurisdiction,"Energy, Natural Resources, and Infrastructure",12,Energy/Mining/Utilities,
Senate Committee on Finance,SSFI,https://www.ethics.senate.gov/public/index.cfm/jurisdiction,Health Care,10,Healthcare,
Senate Committee on Finance,SSFI,https://www.ethics.senate.gov/public/index.cfm/jurisdiction,"International Trade, Customs, and Global Competitiveness",13,Trade/Finance,
Senate Committee on Finance,SSFI,https://www.ethics.senate.gov/public/index.cfm/jurisdiction,Fiscal Responsibility and Economic Growth,14,Finance,
Senate Committee on Finance,SSFI,https://www.ethics.senate.gov/public/index.cfm/jurisdiction,Taxation and IRS Oversight,11,Finance,
Senate Committee on Finance,SSFI,https://www.ethics.senate.gov/public/index.cfm/jurisdiction,"Social Security, Pensions, and Family Policy",2,Finance,
Senate Committee on Foreign Relations,SSFR,https://www.foreign.senate.gov/about/history/,Europe and Regional Security Cooperation,1,Defence/Social Issues,
Senate Committee on Foreign Relations,SSFR,https://www.foreign.senate.gov/about/history/,Africa and Global Health Policy,9,Healthcare/Social Issues,
Senate Committee on Foreign Relations,SSFR,https://www.foreign.senate.gov/about/history/,"East Asia, the Pacific, and International Cybersecurity Policy",2,ICT/Social Issues,
Senate Committee on Foreign Relations,SSFR,https://www.foreign.senate.gov/about/history/,"Near East, South Asia, Central Asia, and Counterterrorism",7,Defence/Social Issues,
Senate Committee on Foreign Relations,SSFR,https://www.foreign.senate.gov/about/history/,"Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues",6,Defence/Social Issues,
Senate Committee on Foreign Relations,SSFR,https://www.foreign.senate.gov/about/history/,"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",15,Utilities / Environment / Social Issues,
Senate Committee on Foreign Relations,SSFR,https://www.foreign.senate.gov/about/history/,"State Department and USAID Management, International Operations, and Bilateral International Development",14,Defence/Social Issues,
Senate Committee on Homeland Security and Governmental Affairs,SSGA,https://www.hsgac.senate.gov/about/jurisdiction,Permanent Subcommittee on Investigations,1,ICT/Social Issues,
Senate Committee on Homeland Security and Governmental Affairs,SSGA,https://www.hsgac.senate.gov/about/jurisdiction,"Disaster Management, District of Columbia, and Census",20,Social Issues/Utilities,
Senate Committee on Homeland Security and Governmental Affairs,SSGA,https://www.hsgac.senate.gov/about/jurisdiction,"Border Management, Federal Workforce, and Regulatory Affairs",22,Defence/Social Issues,
"Senate Committee on Health, Education, Labor, and Pensions",SSHR,https://www.help.senate.gov/about/issues/,Employment and Workplace Safety,11,Social Issues,
"Senate Committee on Health, Education, Labor, and Pensions",SSHR,https://www.help.senate.gov/about/issues/,Primary Health and Retirement Security,12,Healthcare/Finance,
"Senate Committee on Health, Education, Labor, and Pensions",SSHR,https://www.help.senate.gov/about/issues/,Education and the American Family,9,Higher Ed/Social Issues,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,the Constitution,21,Social Issues,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,Crime and Counterterrorism,22,Defence/ICT,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,"Antitrust, Competition Policy, and Consumer Rights",1,Finance/ICT,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,Border Security and Immigration,4,Defence/Social Issues,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,"Federal Courts, Oversight, Agency Action, and Federal Rights",25,Social Issues/ICT,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,Intellectual Property,26,ICT,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,Human Rights and the Law,27,Social Issues,
Senate Committee on the Judiciary,SSJU,https://www.judiciary.senate.gov/about/jurisdiction,"Privacy, Technology, and the Law",28,ICT/Social Issues,
Senate Committee on Rules and Administration,SSRA,https://www.rules.senate.gov/public/index.cfm?p=PurposeJurisdiction,,,none,
Senate Committee on Small Business and Entrepreneurship,SSSB,https://www.sbc.senate.gov/public/index.cfm/jurisdiction,,,Retail,
Senate Committee on Veterans' Affairs,SSVA,https://www.veterans.senate.gov/about,,,Healthcare/Social Issues,
House Select Subcommittee on the Coronavirus Pandemic,HSVC,,,,,
House Select Subcommittee on the Weaponization of the Federal Government,HSFD,,,,,
House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,HSZS,,,,Defence/ICT&Cybersecurity,
House Task Force on the Attempted Assassination of Donald J. Trump,HSZT,,,,,
