catcode,cmte_id,catorder,catname,industry,sector,newsletter,source,confidence,reasoning,model
C6400,,B13,Vendors,Internet,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C6500,,B13,Hosting/Cloud Services,Internet,Communic/Electronics,ICT & Cybersecurity,crp,high,,
E1200,,E04,Mining,Mining,Energy/Nat Resource,Mining,crp,high,,
E1210,,E04,Coal mining,Mining,Energy/Nat Resource,Mining,crp,high,,
E1220,,E04,Metal mining & processing,Mining,Energy/Nat Resource,Mining,crp,high,,
E1230,,E04,Non-metallic mining,Mining,Energy/Nat Resource,Mining,crp,high,,
E1240,,E04,Mining services & equipment,Mining,Energy/Nat Resource,Mining,crp,high,,
E3000,,E10,Waste management,Waste Management,Energy/Nat Resource,Environment,crp,high,,
E4000,,E11,Fisheries & wildlife,Fisheries & Wildlife,Energy/Nat Resource,Fisheries,crp,high,,
E4100,,E11,Fishing,Fisheries & Wildlife,Energy/Nat Resource,Fisheries,crp,high,,
E4200,,E11,Hunting & wildlife,Fisheries & Wildlife,Energy/Nat Resource,Fisheries,crp,high,,
G2910,,N01,Food catering & food services,Food & Beverage,Misc Business,"Agri-Food, Hospitality & Retail",crp,high,,
G2900,,N01,Restaurants & drinking establishments,Food & Beverage,Misc Business,"Agri-Food, Hospitality & Retail",crp,high,,
C2200,,B02,Cable & satellite TV production,TV/Movies/Music,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C2300,,B02,TV production,TV/Movies/Music,Communic/Electronics,,crp,high,,
C2400,,B02,Motion Picture production & distribution,TV/Movies/Music,Communic/Electronics,,crp,high,,
C2600,,B02,Recorded Music & music production,TV/Movies/Music,Communic/Electronics,,crp,high,,
C4000,,B09,Telecommunications,Telecom Services,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C4100,,B08,Telephone utilities,Telephone Utilities,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C4200,,B08,Long-distance telephone & telegraph service,Telephone Utilities,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C4300,,B09,Cell/wireless service providers,Telecom Services,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C4400,,B09,Satellite communications,Telecom Services,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C4500,,B09,Cable distributors & service providers,Telecom Services,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C4600,,B09,Other Communications Services,Telecom Services,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C5130,,B12,Data processing & computer services,Electronics Mfg & Equip,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C5200,,B12,Telecommunications Devices,Electronics Mfg & Equip,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C5300,,B12,Other Communication Electronics,Electronics Mfg & Equip,Communic/Electronics,ICT & Cybersecurity,crp,high,,
C6100,,B13,Online Entertainment,Internet,Communic/Electronics,ICT & Cybersecurity,crp,high,,
D0000,,D03,Defense,Misc Defense,Defense,Defense,crp,high,,
D2000,,D01,Defense aerospace contractors,Defense Aerospace,Defense,"Defense, Freight & Transport",crp,high,,
D3000,,D02,Defense electronic contractors,Defense Electronics,Defense,Defense,crp,high,,
D4000,,D03,Defense Research & Development,Misc Defense,Defense,Defense,crp,high,,
D5000,,D03,Defense shipbuilders,Misc Defense,Defense,Defense,crp,high,,
D6000,,D03,Homeland Security contractors,Misc Defense,Defense,Defense,crp,high,,
D8000,,D03,Ground-based & other weapons systems,Misc Defense,Defense,Defense,crp,high,,
D9000,,D03,Defense-related services,Misc Defense,Defense,Defense,crp,high,,
E0000,,E07,"Energy, Natural Resources and Environment",Misc Energy,Energy/Nat Resource,"Oil & Gas, Utilities & Power, Environment",crp,high,,
E1000,,E07,Energy production & distribution,Misc Energy,Energy/Nat Resource,"Oil & Gas, Utilities & Power",crp,high,,
E1100,,E01,Oil & Gas,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1110,,E01,Major (multinational) oil & gas producers,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1120,,E01,Independent oil & gas producers,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1140,,E01,Natural Gas transmission & distribution,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1150,,E01,"Oilfield service, equipment & exploration",Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1160,,E01,Petroleum refining & marketing,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1170,,E01,Gasoline service stations,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1180,,E01,Fuel oil dealers,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
E1190,,E01,LPG/Liquid Propane dealers & producers,Oil & Gas,Energy/Nat Resource,Oil & Gas,crp,high,,
G5200,,N05,Business services,Business Services,Misc Business,,crp,high,,
G5210,,N05,Advertising & public relations services,Business Services,Misc Business,,crp,high,,
G5220,,N05,Direct mail advertising services,Business Services,Misc Business,,crp,high,,
G5230,,N05,Outdoor advertising services,Business Services,Misc Business,,crp,high,,
G5240,,N05,"Commercial photography, art & graphic design",Business Services,Misc Business,,crp,high,,
G5250,,N05,Employment agencies,Business Services,Misc Business,,crp,high,,
G5260,,N05,Political consultants/advisers,Business Services,Misc Business,,crp,high,,
G5270,,N05,Management consultants & services,Business Services,Misc Business,,crp,high,,
G5280,,N05,Marketing research services,Business Services,Misc Business,,crp,high,,
G5290,,N05,Security services,Business Services,Misc Business,,crp,high,,
G5300,,N04,Equipment rental & leasing,Misc Services,Misc Business,,crp,high,,
G5400,,N04,Funeral services,Misc Services,Misc Business,,crp,high,,
G5500,,N04,Laundries & dry cleaners,Misc Services,Misc Business,,crp,high,,
G5600,,N04,Miscellaneous repair services,Misc Services,Misc Business,,crp,high,,
G5700,,N04,Pest control,Misc Services,Misc Business,,crp,high,,
J5000,,Q04,Foreign policy,Foreign & Defense Policy,Ideology/Single-Issue,Foreign Affairs,crp,high,,
J5100,,Q05,Pro-Israel,Pro-Israel,Ideology/Single-Issue,Foreign Affairs,crp,high,,
J5200,,Q04,Anti-Castro,Foreign & Defense Policy,Ideology/Single-Issue,Foreign Affairs,crp,high,,
J5300,,Q04,Puerto Rico statehood policy,Foreign & Defense Policy,Ideology/Single-Issue,Foreign Affairs,crp,high,,
J5400,,Q04,Pro-Arab,Foreign & Defense Policy,Ideology/Single-Issue,Foreign Affairs,crp,high,,
E1300,,E08,Nuclear energy,Electric Utilities,Energy/Nat Resource,Utilities & Power,crp,high,,
E1320,,E08,"Nuclear plant construction, equipment & svcs",Electric Utilities,Energy/Nat Resource,Utilities & Power,crp,high,,
E1500,,E07,Alternate energy production & services,Misc Energy,Energy/Nat Resource,Utilities & Power,crp,high,,
E1600,,E08,Electric Power utilities,Electric Utilities,Energy/Nat Resource,Utilities & Power,crp,high,,
E1610,,E08,Rural electric cooperatives,Electric Utilities,Energy/Nat Resource,Utilities & Power,crp,high,,
E1620,,E08,Gas & Electric Utilities,Electric Utilities,Energy/Nat Resource,Utilities & Power,crp,high,,
E1630,,E08,Independent power generation & cogeneration,Electric Utilities,Energy/Nat Resource,Utilities & Power,crp,high,,
E1700,,E07,Power plant construction & equipment,Misc Energy,Energy/Nat Resource,Utilities & Power,crp,high,,
E2000,,E09,"Environmental services, equipment & consulting",Environmental Svcs/Equipment,Energy/Nat Resource,Utilities & Power,crp,high,,
E5000,,E07,Water Utilities,Misc Energy,Energy/Nat Resource,"Utilities & Power, Environment",crp,high,,
F0000,,F13,"Finance, Insurance & Real Estate",Misc Finance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1000,,F03,Banks & lending institutions,Commercial Banks,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1100,,F03,Commercial banks & bank holding companies,Commercial Banks,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1200,,F04,Savings banks & Savings and Loans,Savings & Loans,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1300,,F05,Credit unions,Credit Unions,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1400,,F06,Credit agencies & finance companies,Finance/Credit Companies,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1410,,F06,Student loan companies,Finance/Credit Companies,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1420,,F06,Payday lenders,Finance/Credit Companies,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F1999,,F07,Crypto Firms,Crypto,Crypto,Finance & Insurance,crp,high,,
F2000,,F07,"Securities, commodities & investment",Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F2100,,F07,Security brokers & investment companies,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F2110,,F07,Discount & Online Brokers,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F2200,,F07,Commodity brokers/dealers,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F2300,,F07,Investment banking,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F2400,,F07,Stock exchanges,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F2500,,F07,Venture capital,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F2600,,F07,Private Equity & Investment Firms,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
H5000,,W04,Education,Education,Other,Higher Ed,crp,high,,
H5100,,W04,Schools & colleges,Education,Other,Higher Ed,crp,high,,
H5150,,W04,Medical schools,Education,Other,Higher Ed,crp,high,,
H5170,,W04,Law schools,Education,Other,Higher Ed,crp,high,,
H5200,,W04,"Technical, business and vocational schools & svcs",Education,Other,Higher Ed,crp,high,,
H5300,,W04,For-profit Education,Education,Other,Higher Ed,crp,high,,
H6000,,W07,Welfare & Social Work,Other,Other,Higher Ed,crp,high,,
J0000,,Q10,Ideological & Single Issue PACs,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J1000,,Q10,General Ideological,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
F2700,,F07,Hedge Funds,Securities & Investment,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F3000,,F09,Insurance,Insurance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F3100,,F09,"Insurance companies, brokers & agents",Insurance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F3200,,F09,Accident & health insurance,Insurance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
J3000,,Q10,Consumer groups,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J4000,,Q10,Fiscal & tax policy,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J6100,,Q12,Anti-Guns,Gun Control,Ideology/Single-Issue,Social Issues,crp,high,,
J6200,,Q13,Pro-Guns,Gun Rights,Ideology/Single-Issue,Social Issues,crp,high,,
J6500,,Q10,Militias & Anti-Government Groups,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J7000,,Q09,Human Rights,Human Rights,Ideology/Single-Issue,Social Issues,crp,high,,
J7120,,Q14,Abortion policy/Anti-Abortion,Abortion Policy/Anti-Abortion,Ideology/Single-Issue,Social Issues,crp,high,,
J7150,,Q15,Abortion policy/Pro-Abortion Rights,Abortion Policy/Pro-Abortion Rights,Ideology/Single-Issue,Social Issues,crp,high,,
J7200,,Q10,Elderly issues/Social Security,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J7210,,Q10,Legalization of Doctor-Assisted Suicide,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J7300,,Q09,Gay & lesbian rights & issues,Human Rights,Ideology/Single-Issue,Social Issues,crp,high,,
J7400,,Q08,Women's issues,Women's Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J7500,,Q09,Minority/Ethnic Groups,Human Rights,Ideology/Single-Issue,Social Issues,crp,high,,
J7600,,Q10,Animal Rights,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J7700,,Q09,Children's rights,Human Rights,Ideology/Single-Issue,Social Issues,crp,high,,
J8000,,Q10,"Labor, anti-union",Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J9000,,Q10,Other single-issue or ideological groups,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
J9100,,Q10,Term limits,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
JD100,,Q04,"Defense policy, hawks",Foreign & Defense Policy,Ideology/Single-Issue,Social Issues,crp,high,,
JD200,,Q04,"Defense policy, doves",Foreign & Defense Policy,Ideology/Single-Issue,Social Issues,crp,high,,
JE300,,Q11,Environmental policy,Environment,Ideology/Single-Issue,Social Issues,crp,high,,
JH100,,Q09,Health & welfare policy,Human Rights,Ideology/Single-Issue,Social Issues,crp,high,,
JW100,,Q10,Pro-resource development groups,Misc Issues,Ideology/Single-Issue,Social Issues,crp,high,,
LG200,,P05,Retail trade unions,Misc Unions,Labor,"Social Issues, Hospitality & Retail",crp,high,,
LG100,,P05,Food service & related unions,Misc Unions,Labor,"Social Issues, Agri-Food, Hospitality & Retail",crp,high,,
LA100,,P05,Agricultural labor unions,Misc Unions,Labor,"Social Issues, Agri-Food",crp,high,,
K2100,,K02,Registered Foreign Agents,Lobbyists,Lawyers & Lobbyists,Foreign Affairs,crp,high,,
L0000,,P05,Labor Unions,Misc Unions,Labor,Social Issues,crp,high,,
L1000,,P04,Civil service & government unions,Public Sector Unions,Labor,Social Issues,crp,high,,
L1100,,P04,Federal employees unions,Public Sector Unions,Labor,Social Issues,crp,high,,
L1200,,P04,State & local govt employee unions,Public Sector Unions,Labor,Social Issues,crp,high,,
L1300,,P04,Teachers unions,Public Sector Unions,Labor,Social Issues,crp,high,,
L1400,,P04,Police & firefighters unions & associations,Public Sector Unions,Labor,Social Issues,crp,high,,
L1500,,P04,US Postal Service unions & associations,Public Sector Unions,Labor,Social Issues,crp,high,,
L5000,,P05,Other unions,Misc Unions,Labor,Social Issues,crp,high,,
LC100,,P02,Communications & hi-tech unions,Industrial Unions,Labor,Social Issues,crp,high,,
LE100,,P02,Mining unions,Industrial Unions,Labor,Social Issues,crp,high,,
LG000,,P05,General commercial unions,Misc Unions,Labor,Social Issues,crp,high,,
LG300,,P05,Commercial service unions,Misc Unions,Labor,Social Issues,crp,high,,
LG400,,P05,Entertainment unions,Misc Unions,Labor,Social Issues,crp,high,,
LG500,,P05,Other commercial unions,Misc Unions,Labor,Social Issues,crp,high,,
LM100,,P02,Manufacturing unions,Industrial Unions,Labor,Social Issues,crp,high,,
LM150,,P02,Automotive Manufacturing union,Industrial Unions,Labor,Social Issues,crp,high,,
LT000,,P03,Transportation unions,Transportation Unions,Labor,Social Issues,crp,high,,
M0000,,N15,Manufacturing,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M1000,,N13,Chemicals,Chemical & Related Manufacturing,Misc Business,Manufacturing,crp,high,,
M1100,,N13,Explosives,Chemical & Related Manufacturing,Misc Business,Manufacturing,crp,high,,
M1300,,N13,Household cleansers & chemicals,Chemical & Related Manufacturing,Misc Business,Manufacturing,crp,high,,
M1400,,N15,Manmade fibers,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M1500,,N13,Plastics & Rubber processing & products,Chemical & Related Manufacturing,Misc Business,Manufacturing,crp,high,,
M1600,,N13,"Paints, Solvents & Coatings",Chemical & Related Manufacturing,Misc Business,Manufacturing,crp,high,,
M1700,,N13,Adhesives & Sealants,Chemical & Related Manufacturing,Misc Business,Manufacturing,crp,high,,
M2000,,N15,Heavy industrial manufacturing,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M2100,,N14,Steel,Steel Production,Misc Business,Manufacturing,crp,high,,
M2200,,N15,Smelting & non-petroleum refining,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M2250,,N15,Aluminum mining/processing,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M2300,,N15,Industrial/commercial equipment & materials,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M2400,,N15,"Recycling of metal, paper, plastics, etc.",Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M3000,,N15,Personal products manufacturing,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M3100,,N15,Clothing & accessories,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M3200,,N15,Shoes & leather products,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M3300,,N15,Toiletries & cosmetics,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M3400,,N15,Jewelry,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
F3300,,F09,Life insurance,Insurance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F3400,,F09,Property & casualty insurance,Insurance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F4000,,F10,Real estate,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F4100,,F10,Real Estate developers & subdividers,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
M3500,,N15,Toys,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M3600,,N15,Sporting goods sales & manufacturing,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M4000,,N15,Household & office products,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M4100,,N15,Furniture & wood products,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M4200,,N15,Office machines,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M4300,,N15,Household appliances,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M5000,,N15,Fabricated metal products,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M5100,,N15,Hardware & tools,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M5200,,N15,"Electroplating, polishing & related services",Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M5300,,N15,Small arms & ammunition,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M6000,,N15,Electrical lighting products,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M7000,,N15,"Paper, glass & packaging materials",Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M7100,,N15,Paper packaging materials,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M7200,,N15,Glass products,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M7300,,N15,Metal cans & containers,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M8000,,N16,Textiles & fabrics,Textiles,Misc Business,Manufacturing,crp,high,,
M9000,,N15,Precision instruments,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M9100,,N15,Optical instruments & lenses,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M9200,,N15,Photographic equipment & supplies,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
M9300,,N15,Clocks & watches,Misc Manufacturing & Distributing,Misc Business,Manufacturing,crp,high,,
T2000,,M02,"Automotive, Misc",Automotive,Transportation,Automotive,crp,high,,
T2100,,M02,Auto manufacturers,Automotive,Transportation,Automotive,crp,high,,
T2200,,M02,Truck/Automotive parts & accessories,Automotive,Transportation,Automotive,crp,high,,
T2300,,M02,"Auto dealers, new & used",Automotive,Transportation,Automotive,crp,high,,
T2310,,M02,"Auto dealers, foreign imports",Automotive,Transportation,Automotive,crp,high,,
T2400,,M02,Auto repair,Automotive,Transportation,Automotive,crp,high,,
T2500,,M02,Car rental agencies,Automotive,Transportation,Automotive,crp,high,,
F4200,,F10,Real estate agents,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F4300,,F10,Title insurance & title abstract offices,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F4400,,F10,Mobile home dealers & parks,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F4500,,F10,Building operators and managers,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
X0000,,W07,Other,Other,Other,,crp,high,,
F4600,,F10,Mortgage bankers and brokers,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F4700,,F10,Other real estate services,Real Estate,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F5000,,F13,Financial services & consulting,Misc Finance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F5100,,F11,Accountants,Accountants,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F5200,,F13,Credit reporting services & collection agencies,Misc Finance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F5300,,F13,Tax return services,Misc Finance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F5500,,F13,Other financial services,Misc Finance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
F7000,,F13,Investors,Misc Finance,Finance/Insur/RealEst,Finance & Insurance,crp,high,,
X9000,,W07,Foreign Governments,Other,Other,Foreign Affairs,crp,high,,
G6550,,N07,Indian Gaming,Casinos/Gambling,Misc Business,"Hospitality & Retail, Tribal Affairs",crp,high,,
X8000,,W07,International Organizations,Other,Other,,crp,high,,
Y0000,,Y00,Unknown,Unknown,Unknown,,crp,high,,
Y1000,,Y01,"Homemakers, students & other non-income earners",Homemakers/Non-income earners,Unknown,,crp,high,,
Y2000,,Y02,No employer listed or discovered,No Employer Listed or Found,Unknown,,crp,high,,
Y3000,,Y03,Generic occupation - impossible to assign category,Generic Occupation/Category Unknown,Unknown,,crp,high,,
Y4000,,Y04,Employer listed but category unknown,Employer Listed/Category Unknown,Unknown,,crp,high,,
H0000,,H05,"Health, Education & Human Resources",Misc Health,Health,Healthcare,crp,high,,
H1000,,H01,Health professionals,Health Professionals,Health,Healthcare,crp,high,,
H1100,,H01,Physicians,Health Professionals,Health,Healthcare,crp,high,,
H1110,,H01,Psychiatrists & psychologists,Health Professionals,Health,Healthcare,crp,high,,
H1120,,H01,Optometrists & Ophthalmologists,Health Professionals,Health,Healthcare,crp,high,,
H1130,,H01,Other physician specialists,Health Professionals,Health,Healthcare,crp,high,,
H1400,,H01,Dentists,Health Professionals,Health,Healthcare,crp,high,,
H1500,,H01,Chiropractors,Health Professionals,Health,Healthcare,crp,high,,
H1700,,H01,Other non-physician health practitioners,Health Professionals,Health,Healthcare,crp,high,,
H1710,,H01,Nurses,Health Professionals,Health,Healthcare,crp,high,,
H1750,,H01,Pharmacists,Health Professionals,Health,Healthcare,crp,high,,
H2000,,H02,Health care institutions,Hospitals/Nursing Homes,Health,Healthcare,crp,high,,
H2100,,H02,Hospitals,Hospitals/Nursing Homes,Health,Healthcare,crp,high,,
H2200,,H02,Nursing homes,Hospitals/Nursing Homes,Health,Healthcare,crp,high,,
H2300,,H02,Drug & alcohol treatment hospitals,Hospitals/Nursing Homes,Health,Healthcare,crp,high,,
Z9100,,Z08,Transfer between national party committees,Party Committee Transfer,Non-contribution,,crp,high,,
Z9500,,Z09,Transfer from intermediary (type 24I or 24T),Non-contribution,Non-contribution,,crp,high,,
Z9600,,Z09,"Non-Contribution, Miscellaneous",Non-contribution,Non-contribution,,crp,high,,
Z9700,,Z09,Unitemized (small) contributions,Non-contribution,Non-contribution,,crp,high,,
Z9800,,Z09,Public Funding,Non-contribution,Non-contribution,,crp,high,,
Z9999,,Z09,Internal Transfer and other non-contributions,Non-contribution,Non-contribution,,crp,high,,
A0000,,A11,Agriculture,Misc Agriculture,Agribusiness,Agri-Food,crp,high,,
A1000,,A01,Crop production & basic processing,Crop Production & Basic Processing,Agribusiness,Agri-Food,crp,high,,
A1100,,A01,Cotton,Crop Production & Basic Processing,Agribusiness,Agri-Food,crp,high,,
A1200,,A01,Sugar cane & sugar beets,Crop Production & Basic Processing,Agribusiness,Agri-Food,crp,high,,
A1300,,A02,Tobacco & Tobacco products,Tobacco,Agribusiness,Agri-Food,crp,high,,
A1400,,A01,"Vegetables, fruits and tree nut",Crop Production & Basic Processing,Agribusiness,Agri-Food,crp,high,,
